model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-7B,W16A16_FP8KV,long_in_short_out,2564,256,68609.69,6860.94,0.1458,40.75,46.25,836.43,21.623,829.8,908.82,908.82,908.82,21.585,21.82,21.82,21.82,100.0,23357.0,389.93
Qwen2.5-7B,W16A16_FP8KV,short_in_long_out,256,2564,562127.91,56212.74,0.0178,48.89,48.96,89.94,20.427,86.52,98.87,98.87,98.87,20.461,20.497,20.497,20.497,100.0,23357.0,390.11
Qwen2.5-7B,W16A16_FP8KV,long_in_long_out,2564,2564,638892.86,63889.24,0.0157,43.02,43.58,841.97,22.947,834.28,916.9,916.9,916.9,22.913,23.236,23.236,23.236,100.0,23357.0,389.98
Qwen2.5-7B,W8A16,short_in_short_out,256,256,29080.11,2907.99,0.3439,96.15,97.83,60.2,10.221,65.46,69.4,69.4,69.4,10.222,10.238,10.238,10.238,100.0,22720.0,391.24
Qwen2.5-7B,W8A16,long_in_short_out,2564,256,34328.44,3432.82,0.2913,81.45,95.69,521.34,10.45,521.7,560.23,560.23,560.23,10.45,10.462,10.462,10.462,100.0,22720.0,389.36
Qwen2.5-7B,W8A16,short_in_long_out,256,2564,285521.48,28552.11,0.035,96.25,96.42,58.63,10.372,54.27,65.87,65.87,65.87,10.372,10.381,10.381,10.381,100.0,22720.0,390.12
Qwen2.5-7B,W8A16,long_in_long_out,2564,2564,295526.13,29552.57,0.0338,92.99,94.63,521.79,10.567,512.22,563.73,563.73,563.73,10.566,10.59,10.59,10.59,100.0,22720.0,389.58
Qwen2.5-7B,W8A16_INT8KV,short_in_short_out,256,256,29159.43,2915.92,0.3429,95.89,97.5,58.6,10.256,54.17,65.99,65.99,65.99,10.256,10.272,10.272,10.272,100.0,22718.0,389.24
Qwen2.5-7B,W8A16_INT8KV,long_in_short_out,2564,256,36104.66,3610.45,0.277,77.44,90.19,521.51,11.087,511.21,566.44,566.44,566.44,11.095,11.107,11.107,11.107,100.0,22718.0,389.67
Qwen2.5-7B,W8A16_INT8KV,short_in_long_out,256,2564,295725.18,29572.48,0.0338,92.93,93.09,60.34,10.742,65.71,69.3,69.3,69.3,10.749,10.761,10.761,10.761,100.0,22718.0,391.19
